Project,Relation Type,SATD A,SATD B
Arrow,SATD Duplication,"[2019-02-01 22:29:00][kou][pull:summary][3543]
ARROW-4455: [Plasma] Suppress class-memaccess warnings
","[2019-02-01 22:28:42][Kouhei Sutou][issue:summary][ARROW-4455:13213416]
[Plasma] g++ 8 reports class-memaccess warnings"
Arrow,No Relation,"[2021-01-06 14:32:07][Benjamin Kietzman][code-comment][57376d28cf433bed95f19fa44c1e90a780ba54e8]
 literal(3) may be safely cast to float32, so binding this expr casts that literal:
","[2020-12-17 18:13:20][pitrou][pull:comment][8894:545299428]
Of course, this may be deferred to a later JIRA. But should add a TODO and open the JIRA at least."
Trafficserver,SATD Repayment,"[2013-04-19 17:17:53][Leif Hedstrom][code-comment(deleted)][c88d6153e0850a5c5f633ae8afd7947773b65d99]
 UNUSED FILE *f
","[2013-04-19 17:17:53][Leif Hedstrom][commit][c88d6153e0850a5c5f633ae8afd7947773b65d99]
TS-1820 Cleanup the comments some, and eliminate a few unused parameters where it was obvious"
Myfaces Tobago,SATD Repayment,"[2012-07-24 16:59:57][Udo Schnurpfeil][commit][10ba79b743798d343f0f0c762c6d6b790dda2d49]
TOBAGO-1174: Easier handling of Selenium tests
- cleanup
","[2012-07-13 20:28:38][Udo Schnurpfeil][issue:summary][TOBAGO-1174:12598755]
Easier handling of Selenium tests"
Geode,SATD Repayment,"[2016-05-23 07:55:04][Jinmei Liao][code-comment(deleted)][bbc402723b28bac92c31bda070118ec778dbcba5]
for DATA resource, when we construct the lock to guard the operations, there should always be a 3rd part (regionName),
 if no regionName is specified, we need to add ""NULL"" to it.
 this means, for general data operations, or operations that we can't put a regionName on yet, like backup diskstore, query data, create regions
 it will require DATA:READ/WRITE:NULL role
","[2016-05-23 07:55:04][Jinmei Liao][commit][bbc402723b28bac92c31bda070118ec778dbcba5]
GEODE-17: change default regionName to * instead of null.

* operations with no regionName specified in its permission string will need a higher level of role than the operations with regionName specified. This makes more sense than null."
Airflow,No Relation,"[2018-03-23 09:18:48][Joy Gao][code-comment][05e1861e24de42f9a2c649cd93041c5c744504e1]
TODO: by definition, the discrete bar should not have multiple groups, will modify/remove later
","[2018-02-28 17:47:55][ashb][pull:comment][3015:369322703]
I get similar logs using Postgres. Those ""registering class"" at info (even assuming we fix the errors) are too chatty - we might need to tweak the log levels for FAB to so that we don't create 100s of log lines form the webserver every time we reload the workers.

OR: Do we still need the automatic worker cycling that we do? Do either of you know it that added to work around a specific bug/problem that might not be needed any more?"
Ignite,SATD Repayment,"[2016-06-17 19:29:33][Pavel Tupitsyn][commit][ead2b1f5aa0637e82b55a8071dd9af911f25f2a3]
IGNITE-3097 .NET: Improve reflective serialization performance

This closes #698
","[2016-05-10 14:50:22][ptupitsyn][pull:summary][698]
IGNITE-3097 .NET: Improve reflective serialization performance"
Geode Native,No Relation,"[2019-01-04 16:37:27][Jacob Barrett][commit][a816ac99cbbac557629686cb2542fdc74d464338]
GEODE-6241: Makes .NET integration tests more consistent with C++ (#428)

- Changes Gfsh wrapper:
 - to be more stateless.
 - use more explicit 1:1 mappings to actaual GFSH tool.
- Changes Cluster to keep more state previously held by Gfsh.
- Add support for XUnit's test output facility.
- Corrects async writes to test output after test ends.
","[2019-01-04 02:54:51][moleske][pull:comment][428:245190268]
Just want to say I like this section, much easier to read"
Hudi,No Relation,"[2020-04-04 00:07:34][vinoth chandar][code-comment][eaf6cc2d90bf27c0d9414a4ea18dbd1b61f58e50]
*
   * Executes the Cleaner plan stored in the instant metadata.
","[2020-04-04 00:07:34][vinoth chandar][commit][eaf6cc2d90bf27c0d9414a4ea18dbd1b61f58e50]
[HUDI-756] Organize Cleaning Action execution into a single package in hudi-client (#1485)

- Introduced a thin abstraction ActionExecutor, that all actions will implement
- Pulled cleaning code from table, writeclient into a single package
- CleanHelper is now CleanPlanner, HoodieCleanClient is no longer around
- Minor refactor of HoodieTable factory method
- HoodieTable.create() methods with and without metaclient passed in
- HoodieTable constructor now does not do a redundant instantiation
- Fixed existing unit tests to work at the HoodieWriteClient level"
Nifi Minifi Cpp,No Relation,"[2017-02-22 15:47:02][Andrew Christianson][code-comment][a9485aeb05defe3e54b179c3b5dcc1735486abcd]
 A malloc() may have failed within the call to sqlite3_value_text16()
    ** above. If this is the case, then the db->mallocFailed flag needs to
    ** be cleared before returning. Do this directly, instead of via
    ** sqlite3ApiExit(), to avoid setting the database handle error message.
","[2017-02-16 12:33:23][achristianson][pull:comment][43:101507876]
@phrocker Mainly, creating a shared ProcessContext and SessionFactory which will be used in this thread as well as the threads created in the loop below. I wanted these objects to be cleaned up once they go out of scope in all threads. The raw pointers are only used to integrate with the existing Processor pointer that is passed-in, as well as passing raw pointers to the constructors of the new shared objects. I wanted to minimize function/constructor changes that might have impacts elsewhere in the code base. If we want to move more to having managed pointers across the code base, then some of this can be cleaned up."
Hadoop,No Relation,"[2018-04-02 19:58:09][Anu Engineer][code-comment][b78c94f44c454f35eeadb34d48fea649ea491de5]
 Although AnyOf isn't defined for one argument, AnyOfResult1 is defined
 to simplify the implementation.
","[2018-01-26 18:53:15][Owen O'Malley][issue:comment][HDFS-7240:16341429]
I think that the major contribution of this work is pulling out the block management layer and the naming should reflect that.

I'd propose that:
 * Ozone should be the object store
 * The block layer should have a different name such as Hadoop Storage Layer (HSL)."
Flink,No Relation,"[2019-07-26 13:26:18][twalthr][pull:comment][9212:307740877]
There is the overhead of discovering a planner and executor. The test could also be based on the `Planner` only with a mocking catalog. We should always reduce the dependencies of tests to a minimum because otherwise we need to change many tests if we perform changes to the API class. This test must not use the API but can go at least one level deeper.
","[2019-07-19 14:19:03][Danny Chen][issue:summary][FLINK-13338:13246012]
Now the TableConfig has only interface to config the SqlParser config which is very broad and hard to use for user, we should at least supply an interface to config the sql conformance."
Hive,SATD Repayment,"[2016-04-01 14:38:14][Rui Li][commit][03b81bc9c40b6de4f238f6b7660488e711b869c4]
HIVE-12650: Improve error messages for Hive on Spark in case the cluster has no resources available (Rui reviewed by Xuefu)
","[2016-03-25 02:54:45][Rui Li][issue:comment][HIVE-12650:15211335]
I think the difficult part is that we really don't know the possible reasons. Anyway all we get is a timeout, it could be due to network issue, exceptions, or the RSC is just busy.

Another possible refinement is that we can make the behavior more consistent. Like I said, there're now 2 paths that can lead to timeout/failure and user will see different error messages. How about remove the timeout at {{RemoteHiveSparkClient#createRemoteClient#getExecutorCount}}? I mean after certain amount of time, we can give up the pre-warm and eventually fail the job at job monitor."
Netbeans,No Relation,"[2020-09-12 18:50:19][Matthias Bläsing][code-comment][ed95b776fbb029693f171a79692ba8a0b80b3f8e]
 /home/matthias/src/netbeans/ide/css.lib/src/org/netbeans/modules/css/lib/Css3.g:1110:56: ( ws )?
","[2020-09-12 18:50:19][Matthias Bläsing][commit][ed95b776fbb029693f171a79692ba8a0b80b3f8e]
Merge pull request #2299 from matthiasblaesing/css-improvements

Improve the handling of CSS files"
Tinkerpop,No Relation,"[2014-06-23 17:28:10][Marko A. Rodriguez][code-comment][729256fd026bfaf0773a8aec02f3825f3cf3e332]
TODO: Dangerous that the underlying TinkerGraph Vertex can have edges written to it.
","[2014-06-23 17:28:10][Marko A. Rodriguez][commit][729256fd026bfaf0773a8aec02f3825f3cf3e332]
reworked the directory structure of GiraphGremlin output. much cleaner and doesnt require Hadoop FileFilters (thank god).Other random tweaky tweakies."
Druid,SATD Repayment,"[2017-10-10 21:52:42][Jihoon Son][code-comment][56fb11ce0bf60836010e91c15456c4d844282d84]
*
   * This class can be used by multiple threads, so this function should be thread-safe to avoid extra
   * script compilation.
","[2017-10-02 16:48:46][gianm][pull:comment][4871:142193379]
Is this going to be thread-safe (albeit with some possible extra work if multiple threads don't see the `compiledScript` variable update)? AggregatorFactorys definitely do need to be thread-safe as they are used from multiple threads during query processing."
Camel,No Relation,"[2020-02-11 13:23:32][zregvart][pull:comment][3564:377630130]
Perhaps we could add a comment here.
```suggestion
// We moved the examples to the `camel-examples` repository,
// this made sure that the examples were copied to the
// correct place for the documentation, according to the
// Antora directory structure. For now the examples are
// copied over from `camel-examples` manually.
//exports.examples = examples;
```
","[2019-08-07 07:29:02][Claus Ibsen][issue:summary][CAMEL-13830:13249265]
I think it may be quicker and easier for new users to try our examples if we put them in a separate repo, so there is less source code. The git repo for Camel is very big, and it takes a longer time to checkout, and users may get lost in the source code.

If we have a camel-examples git repo with just examples we can refer people to this."
Groovy,SATD Repayment,"[2019-02-20 00:12:17][Daniel Sun][code-comment][3f26dc7b60cc50144a5982d6e70a6a7586594c46]
 GROOVY-8995: Improve the performance of creating list
 answer.addAll(Arrays.asList(values));
","[2019-02-16 18:56:12][danielsun1106][pull:summary][880]
GROOVY-8995: Improve the performance of creating list"
Incubator Weex,No Relation,"[2017-12-28 11:27:26][Hanks][code-comment][8c6690d593dc0608c6dddb69f98ffa3e825a13a9]
*
	 * Translates the list format produced by css-loader into something
	 * easier to manipulate.
","[2017-12-22 07:52:13][Hanks10100][pull:summary][955]
Remove source codes of .we examples, then rebuild the examples, replace the generated bundles in ios and android."
Cxf,SATD Repayment,"[2017-12-15 12:47:02][Daniel Kulp][commit][97cde56cd73cb03ffb259f01446080fa7748ab8b]
[CXF-7591] Allow getResponseContext().clear() to clear out everything to reduce memory usage
","[2017-12-15 11:21:07][Luca Boncompagni][issue:summary][CXF-7591:13125184]
memory leak in ClientImpl"
Geode,SATD Duplication,"[2018-09-06 21:54:09][dschneider-pivotal][pull:summary][2431]
GEODE-5574: unit test coverage for RegionMapDestroy
","[2018-08-13 18:15:06][Darrel Schneider][issue:summary][GEODE-5574:13178661]
improve RegionMapDestroy unit test coverage"
Camel,No Relation,"[2008-03-26 05:10:04][Claus Ibsen][commit][eec3534c950c80af56e3fa18445e87ea632985d2]
This is a combined patch for CAMEL-394 and CAMEL-395

plus:
- refactored camel-mina
- writing data using mina session.write will now wait for the operation to complete and check if the operation is a success. This is important to handle as we want the operation to complete before continuing our code.
- improved and polished some unit tests
- polished pom to use readable ident
- mvn exec:java to see the CAMEL-395 in action from java main
- better error reporting for mistyped uri configuration
- fixed a few IDEA hints

git-svn-id: https://svn.apache.org/repos/asf/activemq/camel/trunk@641152 13f79535-47bb-0310-9956-ffa450edef68
","[2008-03-24 15:34:34][Claus Ibsen][issue:comment][CAMEL-394:12946581]
TODO: add wiki documentation for logger=true | logger=false option. Default is false.

This option turns Apache MINA logger on/off. It logs using slf4j at INFO level so it gets quite verbose, so its nice to turn it off."
Beam,SATD Repayment,"[2019-08-23 15:31:57][Robert Bradshaw][commit][f085cb500730cf0c67c467ac55f92b3c59f52b39]
Merge pull request #9352 Fix and rename assertUnhashableCountEqual.

Rename assertArrayCountEqual to assertUnhashableCountEqual and fix typo
","[2019-08-15 19:09:24][ostrokach][pull:summary][9352]
Rename assertArrayCountEqual to assertUnhashableCountEqual and fix typo"
Arrow,SATD Repayment,"[2020-01-02 07:24:58][Kazuaki Ishizaki][commit][cec93999fdef8fe9c83e78ec9f9cc53f9341d71c]
ARROW-7482: [C++] Fix typos

This PR fixes typos in files under `cpp/src/arrow` directory

Closes #6110 from kiszk/ARROW-7482 and squashes the following commits:

b5dc3f012 <Kazuaki Ishizaki> fix lint errors
bb39903f4 <Kazuaki Ishizaki> address review comment
b291f2e01 <Kazuaki Ishizaki> fix lint errors
224796723 <Kazuaki Ishizaki> fix typo

Authored-by: Kazuaki Ishizaki <ishizaki@jp.ibm.com>
Signed-off-by: Sutou Kouhei <kou@clear-code.com>
","[2019-12-31 17:49:14][Kazuaki Ishizaki][issue:summary][ARROW-7482:13277039]
[C++] Fix typos"
